"Name","Url"
"|TR| EUROSPORT 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10026"
"|TR| BEIN SPORTS HABER HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10043"
"|TR| BEIN SPORTS HABER HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10033"
"|TR| BEIN SPORTS 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10042"
"|TR| BEIN SPORTS 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10040"
"|TR| BEIN SPORTS 1 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10041"
"|TR| BEIN SPORTS 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10038"
"|TR| BEIN SPORTS 2 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10039"
"|TR| BEIN SPORTS 3 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10036"
"|TR| BEIN SPORTS 3 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10037"
"|TR| BEIN SPORTS 4 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10034"
"|TR| BEIN SPORTS 4 HD","http://hdlocal.de:8080/eurotv/jyrDCMeEZchhnvsWWS2211/10035"
